cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 10000 samples
Load selected sample idx
Selected 10000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [=====================================>...........................] 24/40   Step: 960ms | Tot: 22s734ms | Loss: 0.039 | Acc: 99.349% (6104/6144)              
 [=======================================>.........................] 25/40   Step: 955ms | Tot: 23s689ms | Loss: 0.039 | Acc: 99.359% (6359/6400)              
 [========================================>........................] 26/40   Step: 958ms | Tot: 24s648ms | Loss: 0.040 | Acc: 99.354% (6613/6656)              
 [==========================================>......................] 27/40   Step: 1s79ms | Tot: 25s728ms | Loss: 0.039 | Acc: 99.378% (6869/6912)              
 [===========================================>.....................] 28/40   Step: 958ms | Tot: 26s686ms | Loss: 0.039 | Acc: 99.386% (7124/7168)              
 [=============================================>...................] 29/40   Step: 960ms | Tot: 27s647ms | Loss: 0.039 | Acc: 99.394% (7379/7424)              
 [===============================================>.................] 30/40   Step: 956ms | Tot: 28s603ms | Loss: 0.038 | Acc: 99.414% (7635/7680)              
 [================================================>................] 31/40   Step: 966ms | Tot: 29s569ms | Loss: 0.038 | Acc: 99.408% (7889/7936)              
 [==================================================>..............] 32/40   Step: 1s70ms | Tot: 30s640ms | Loss: 0.038 | Acc: 99.402% (8143/8192)              
 [====================================================>............] 33/40   Step: 956ms | Tot: 31s597ms | Loss: 0.038 | Acc: 99.396% (8397/8448)              
 [=====================================================>...........] 34/40   Step: 956ms | Tot: 32s553ms | Loss: 0.038 | Acc: 99.403% (8652/8704)              
 [=======================================================>.........] 35/40   Step: 959ms | Tot: 33s512ms | Loss: 0.038 | Acc: 99.397% (8906/8960)              
 [========================================================>........] 36/40   Step: 854ms | Tot: 34s367ms | Loss: 0.038 | Acc: 99.382% (9159/9216)              
 [==========================================================>......] 37/40   Step: 975ms | Tot: 35s342ms | Loss: 0.038 | Acc: 99.398% (9415/9472)              
 [============================================================>....] 38/40   Step: 846ms | Tot: 36s188ms | Loss: 0.038 | Acc: 99.404% (9670/9728)              
 [=============================================================>...] 39/40   Step: 847ms | Tot: 37s36ms | Loss: 0.037 | Acc: 99.419% (9926/9984)              
 [===============================================================>.] 40/40   Step: 849ms | Tot: 37s885ms | Loss: 0.041 | Acc: 99.370% (9937/10000)
 [>................................................................] 1/40   Step: 1s278ms | Tot: 0ms | Loss: 1.954 | Acc: 59.375% (152/256)              
 [=>...............................................................] 2/40   Step: 420ms | Tot: 420ms | Loss: 1.907 | Acc: 60.742% (311/512)              
 [===>.............................................................] 3/40   Step: 413ms | Tot: 834ms | Loss: 1.972 | Acc: 59.896% (460/768)              
 [====>............................................................] 4/40   Step: 413ms | Tot: 1s247ms | Loss: 1.973 | Acc: 59.473% (609/1024)              
 [======>..........................................................] 5/40   Step: 413ms | Tot: 1s660ms | Loss: 2.026 | Acc: 59.688% (764/1280)              
 [========>........................................................] 6/40   Step: 412ms | Tot: 2s73ms | Loss: 2.042 | Acc: 59.440% (913/1536)              
 [=========>.......................................................] 7/40   Step: 520ms | Tot: 2s594ms | Loss: 2.095 | Acc: 58.482% (1048/1792)              
 [===========>.....................................................] 8/40   Step: 413ms | Tot: 3s7ms | Loss: 2.110 | Acc: 58.398% (1196/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s423ms | Loss: 2.109 | Acc: 58.333% (1344/2304)              
 [==============>..................................................] 10/40   Step: 411ms | Tot: 3s835ms | Loss: 2.100 | Acc: 58.672% (1502/2560)              
 [================>................................................] 11/40   Step: 412ms | Tot: 4s248ms | Loss: 2.092 | Acc: 59.091% (1664/2816)              
 [=================>...............................................] 12/40   Step: 413ms | Tot: 4s662ms | Loss: 2.072 | Acc: 59.342% (1823/3072)              
 [===================>.............................................] 13/40   Step: 520ms | Tot: 5s182ms | Loss: 2.064 | Acc: 59.525% (1981/3328)              
 [=====================>...........................................] 14/40   Step: 415ms | Tot: 5s598ms | Loss: 2.090 | Acc: 59.180% (2121/3584)              
 [======================>..........................................] 15/40   Step: 424ms | Tot: 6s23ms | Loss: 2.079 | Acc: 59.349% (2279/3840)              
 [========================>........................................] 16/40   Step: 413ms | Tot: 6s436ms | Loss: 2.100 | Acc: 59.009% (2417/4096)              
