cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the im wcl selected dataset.
------------------ Start to select subsets ------------------
Select 38000 samples
Load selected sample idx
Selected 38000 samples for a fair comparison.
Use multiple GPU to train the network.
load parameters
Use 100 epochs

Epoch: 0
 [>................................................................] 1/149   Step: 1m36s | Tot: 0ms | Loss: 0.131 | Acc: 96.094% (246/256)              
 [>................................................................] 2/149   Step: 1s962ms | Tot: 1s962ms | Loss: 0.132 | Acc: 95.703% (490/512)              
 [>................................................................] 3/149   Step: 959ms | Tot: 2s921ms | Loss: 0.141 | Acc: 95.703% (735/768)              
 [=>...............................................................] 4/149   Step: 1s124ms | Tot: 4s46ms | Loss: 0.140 | Acc: 95.996% (983/1024)              
 [=>...............................................................] 5/149   Step: 946ms | Tot: 4s992ms | Loss: 0.137 | Acc: 95.938% (1228/1280)              
 [==>..............................................................] 6/149   Step: 950ms | Tot: 5s943ms | Loss: 0.129 | Acc: 96.029% (1475/1536)              
 [==>..............................................................] 7/149   Step: 948ms | Tot: 6s892ms | Loss: 0.128 | Acc: 95.926% (1719/1792)              
 [===>.............................................................] 8/149   Step: 951ms | Tot: 7s843ms | Loss: 0.126 | Acc: 95.947% (1965/2048)              
 [===>.............................................................] 9/149   Step: 1s72ms | Tot: 8s915ms | Loss: 0.128 | Acc: 95.964% (2211/2304)              
 [===>.............................................................] 10/149   Step: 949ms | Tot: 9s864ms | Loss: 0.126 | Acc: 96.133% (2461/2560)              
 [====>............................................................] 11/149   Step: 944ms | Tot: 10s809ms | Loss: 0.124 | Acc: 96.200% (2709/2816)              
 [====>............................................................] 12/149   Step: 944ms | Tot: 11s754ms | Loss: 0.122 | Acc: 96.224% (2956/3072)              
 [=====>...........................................................] 13/149   Step: 1s50ms | Tot: 12s804ms | Loss: 0.120 | Acc: 96.274% (3204/3328)              
 [=====>...........................................................] 14/149   Step: 944ms | Tot: 13s749ms | Loss: 0.120 | Acc: 96.094% (3444/3584)              
 [======>..........................................................] 15/149   Step: 950ms | Tot: 14s700ms | Loss: 0.119 | Acc: 96.120% (3691/3840)              
 [=====================================================>...........] 123/149   Step: 945ms | Tot: 1m59s | Loss: 0.069 | Acc: 97.872% (30818/31488)              
 [=====================================================>...........] 124/149   Step: 940ms | Tot: 2m755ms | Loss: 0.069 | Acc: 97.870% (31068/31744)              
 [======================================================>..........] 125/149   Step: 1s53ms | Tot: 2m1s | Loss: 0.069 | Acc: 97.881% (31322/32000)              
 [======================================================>..........] 126/149   Step: 943ms | Tot: 2m2s | Loss: 0.069 | Acc: 97.889% (31575/32256)              
 [======================================================>..........] 127/149   Step: 941ms | Tot: 2m3s | Loss: 0.068 | Acc: 97.896% (31828/32512)              
 [=======================================================>.........] 128/149   Step: 944ms | Tot: 2m4s | Loss: 0.068 | Acc: 97.906% (32082/32768)              
 [=======================================================>.........] 129/149   Step: 1s47ms | Tot: 2m5s | Loss: 0.068 | Acc: 97.920% (32337/33024)              
 [========================================================>........] 130/149   Step: 943ms | Tot: 2m6s | Loss: 0.068 | Acc: 97.927% (32590/33280)              
 [========================================================>........] 131/149   Step: 940ms | Tot: 2m7s | Loss: 0.068 | Acc: 97.934% (32843/33536)              
 [=========================================================>.......] 132/149   Step: 969ms | Tot: 2m8s | Loss: 0.067 | Acc: 97.943% (33097/33792)              
 [=========================================================>.......] 133/149   Step: 941ms | Tot: 2m9s | Loss: 0.067 | Acc: 97.944% (33348/34048)              
 [==========================================================>......] 134/149   Step: 1s46ms | Tot: 2m10s | Loss: 0.067 | Acc: 97.945% (33599/34304)              
 [==========================================================>......] 135/149   Step: 941ms | Tot: 2m11s | Loss: 0.067 | Acc: 97.954% (33853/34560)              
 [==========================================================>......] 136/149   Step: 943ms | Tot: 2m12s | Loss: 0.067 | Acc: 97.961% (34106/34816)              
 [===========================================================>.....] 137/149   Step: 942ms | Tot: 2m13s | Loss: 0.066 | Acc: 97.964% (34358/35072)              
 [===========================================================>.....] 138/149   Step: 947ms | Tot: 2m14s | Loss: 0.066 | Acc: 97.968% (34610/35328)              
 [============================================================>....] 139/149   Step: 1s47ms | Tot: 2m15s | Loss: 0.066 | Acc: 97.971% (34862/35584)              
